m,mean,std,count,se
166,-0.0021545793822501423,0.03556781540993916,24,0.007260249918320954
167,-0.0023147568290625797,0.03507739619316446,24,0.007160143514891504
168,-0.0021984826561173075,0.03547065337241856,24,0.007240416800463068
169,-0.00193241512314737,0.03575527302572437,24,0.0072985145439103255
170,-0.0021161491020436425,0.036125601741452094,24,0.007374107576463086
171,-0.0016791074706474535,0.03563986224942878,24,0.007274956417848434
172,-0.0018680962674931872,0.03547884932512877,24,0.007242089792304401
173,-0.0016324684614061771,0.035321883550132556,24,0.007210049287652631
174,-0.001383317611260395,0.03528395599171448,24,0.007202307357209807
175,-0.0017326674587587515,0.03537372697269913,24,0.007220631781969931
176,-0.0012372441908814226,0.03505390491789642,24,0.007155348378407008
177,-0.001302560901989537,0.03492463274148104,24,0.007128960805893946
178,-0.0010444965421841956,0.03510694451984618,24,0.007166175041818445
179,-0.0011956157520656846,0.03516316555616841,24,0.007177651112801773
180,-0.0012634333220156125,0.035024435623014195,24,0.007149332983778586
181,-0.0013681808340514437,0.035062215482809904,24,0.007157044765366367
182,-0.0015631047776117708,0.035309493238746784,24,0.007207520125931853
183,-0.001683981520165615,0.035280725274995685,24,0.007201647889921096
184,-0.0016413069402571219,0.03506517145571614,24,0.007157648150809181
185,-0.0015102668304298762,0.03503572368137451,24,0.007151637149042713
186,-0.001504217621348014,0.03525436260338923,24,0.0071962666321134
187,-0.0015808199750474037,0.0351775227485292,24,0.007180581762420349
188,-0.0011009979077122518,0.035180259536223314,24,0.007181140406869092
189,-0.0009778459790385629,0.03515443567131347,24,0.007175869132517785
190,-0.0012222256105774232,0.03532509982350612,24,0.007210705806705842
191,-0.0017584452932684728,0.0353829013532841,24,0.007222504494564869
192,-0.0016081397233745033,0.03549098605953354,24,0.007244567192840681
193,-0.0018359535463355278,0.035602020051880956,24,0.007267231911620287
194,-0.001795147268827401,0.03538901954354124,24,0.007223753364921475
195,-0.0017755129799296983,0.03561928964690363,24,0.007270757052942793
196,-0.0019740471926053367,0.03556677957606116,24,0.007260038479616004
197,-0.0019971240732134547,0.03574126649094183,24,0.007295655471970178
198,-0.0022943781692468046,0.035671953617982255,24,0.007281507041023735
199,-0.002463250415507143,0.03590818973234596,24,0.007329728535941139
200,-0.002179020249699106,0.03591292841009169,24,0.007330695814485516
201,-0.0019691074018335026,0.035768032679107296,24,0.0073011190972505705
202,-0.001919994331434328,0.03612976824373189,24,0.007374958060179556
203,-0.0018914894201032034,0.03672704476469858,24,0.007496876619488984
204,-0.001808286799373773,0.03661490600537094,24,0.00747398639109386
205,-0.0018455930343358625,0.03659948795445348,24,0.007470839194629191
206,-0.0019100314820043025,0.03689314947746947,24,0.007530782602002336
207,-0.0017986042644906359,0.036987159601401885,24,0.007549972338193189
208,-0.0017714290258228369,0.036710982311190944,24,0.00749359788489641
209,-0.0015990893968413262,0.036696408378164916,24,0.007490622993274804
210,-0.0014941239865243928,0.03626358246141421,24,0.007402272772983839
211,-0.001644906115553294,0.03676381743126787,24,0.0075043828086203395
212,-0.001630601356091484,0.03665361943107853,24,0.007481888736025422
213,-0.0015881816805226618,0.03600515188694199,24,0.0073495208528679004
214,-0.0018326957395396833,0.03608235121512736,24,0.007365279099746218
215,-0.0017458190847578475,0.03583823198783785,24,0.007315448471141068
216,-0.0014719974264936408,0.035790826063086756,24,0.007305771777272321
217,-0.0017192270595744184,0.03574139975508999,24,0.0072956826744005115
218,-0.0016968097110656045,0.035766085722808955,24,0.007300721676460367
219,-0.0016779114429884918,0.03564918038806095,24,0.0072768584749318774
220,-0.0016054460940873449,0.03566706643133294,24,0.007280509448226355
221,-0.0015046514947195612,0.0353125311858442,24,0.007208140244286373
222,-0.001441931644869536,0.034928762678273585,24,0.007129803825711587
223,-0.0014638398192866086,0.034739369741343895,24,0.0070911441543478485
224,-0.0012040066581149704,0.03468922640012231,24,0.007080908687681919
225,-0.0014574116846101457,0.03505844479453481,24,0.007156275076845277
226,-0.0017524212077226885,0.03509031372568742,24,0.007162780295176259
227,-0.0020302662133481796,0.0351820472320913,24,0.007181505318760079
228,-0.0018934024810210485,0.035321496740154106,24,0.007209970330396413
229,-0.0020228006506310047,0.0355378626805875,24,0.007254135843044682
230,-0.001966591969620868,0.03556180945286563,24,0.007259023957467019
231,-0.0019730584003677452,0.035634945477628015,24,0.007273952786007303
232,-0.002114898045551015,0.03573498159779283,24,0.007294372573528263
233,-0.0020407502900595177,0.03550426078322326,24,0.007247276884467036
234,-0.0016937922239703,0.03542316356010412,24,0.007230722983117159
235,-0.001671705362183822,0.035370461083335004,24,0.007219965135095057
236,-0.0017441440717859734,0.0359595616805438,24,0.007340214790955923
237,-0.0016446040168522755,0.036060877583880456,24,0.007360895813122918
238,-0.0014485616273541132,0.0358073149419382,24,0.007309137555573705
239,-0.0013402459623267126,0.035703675581848955,24,0.007287982259783103
240,-0.0011995126408527932,0.03585648800888885,24,0.007319174965833438
241,-0.0009328491342257455,0.03596266475159824,24,0.007340848202682504
242,-0.0008627315351825877,0.03633909666963244,24,0.007417687046189251
243,-0.0007017621064493714,0.03683520970197437,24,0.007518955694854469
244,-0.000570961294061173,0.03671062896033966,24,0.0074935257574559235
245,-0.0008214331177972158,0.03677506484473374,24,0.007506678677280129
246,-0.0011871609392672463,0.03683263614507586,24,0.007518430369752356
247,-0.0018078867466996959,0.03718959546294579,24,0.007591294385395128
248,-0.0018025428112008184,0.0375497357623375,24,0.007664807716172033
249,-0.001456135729351048,0.03751114281955484,24,0.007656929964714537
250,-0.0014419156501531225,0.03811528818470027,24,0.007780250620970683
251,-0.0013267343228512887,0.037713557034096186,24,0.007698247593240583
252,-0.0013916590914756094,0.0378186584440734,24,0.007719701328714853
253,-0.0014689489006139997,0.037757861731194886,24,0.007707291251665614
254,-0.00153977578773267,0.03774175248662708,24,0.007704002965887879
255,-0.001426990694893394,0.03835485539333112,24,0.007829152072658054
256,-0.0015533005075790858,0.0386802298057536,24,0.007895568846474134
257,-0.0015212260531690207,0.0384213283207795,24,0.007842720802154517
258,-0.0020493762556201564,0.03839178106953894,24,0.007836689494751085
259,-0.002281324169098964,0.038121257281735016,24,0.007781469057800705
260,-0.00269671173477911,0.038432586177472736,24,0.007845018802529169
261,-0.0026308424078992135,0.038408010546257934,24,0.007840002322813911
262,-0.002556145518235407,0.03825024650408987,24,0.007807798872558022
263,-0.002507944921545453,0.03811905952158685,24,0.007781020441889036
264,-0.0023747156246370156,0.03798292095038215,24,0.007753231272408781
265,-0.0026365878562925383,0.03783639848574401,24,0.007723322499557244
266,-0.002300219386994483,0.037655872915494895,24,0.0076864728718376366
267,-0.0020460700682936894,0.03789877935045346,24,0.007736055940244889
268,-0.0018641053391780058,0.03767649041068671,24,0.007690681400420489
269,-0.0022543999881407353,0.03756418537354092,24,0.007667757230707865
270,-0.0026355322628721493,0.03782930513731842,24,0.007721874575873039
271,-0.002424749734958993,0.037736458237897695,24,0.007702922281891348
272,-0.002648110526466879,0.03785308383641751,24,0.007726728382501367
273,-0.0027077947144978584,0.03758493225524591,24,0.007671992170202124
274,-0.0028787186124753597,0.03730364771244604,24,0.007614575203336146
275,-0.0027412301813324017,0.0369768026300193,24,0.007547858230262526
276,-0.0028422306782957545,0.036954243068533205,24,0.007543253279057371
277,-0.0027846552290300805,0.036825231086342045,24,0.007516918818467923
278,-0.002959662243134929,0.03694000383472838,24,0.007540346707628204
279,-0.002955146771732428,0.036906487879057974,24,0.007533505291825351
280,-0.003063481462426228,0.03626329104842329,24,0.007402213288556158
281,-0.003311954056515148,0.036177058587555246,24,0.007384611161190223
282,-0.0032494943110514033,0.03681868310557007,24,0.007515582217489849
283,-0.0032024139769991082,0.03672359625651839,24,0.007496172695704376
284,-0.003211815850359354,0.036672659591700206,24,0.0074857752925374
285,-0.0035598535060584143,0.03678904588782586,24,0.007509532545750759
286,-0.003950279757796503,0.036864186765078286,24,0.007524870613091888
287,-0.0039997644210925535,0.03675967623599844,24,0.007503537490675728
288,-0.0040096475999938,0.03678551204212546,24,0.007508811202517784
289,-0.003867638902626627,0.036527553880862,24,0.0074561557133442785
290,-0.0037153510168970276,0.03655905873620512,24,0.00746258661501185
291,-0.0037504326540713138,0.03683148990092363,24,0.007518196393644554
292,-0.004262790844233586,0.037040472524387864,24,0.0075608547930275175
293,-0.004152195489897162,0.03699327433491715,24,0.007551220502945313
294,-0.004217781689655414,0.037534620543401676,24,0.007661722335026764
295,-0.004214019365653488,0.03715880346884819,24,0.007585008995919968
296,-0.004555305200884492,0.03749491761382674,24,0.007653618008464078
297,-0.004885313225484041,0.03740737654352679,24,0.007635748762316412
298,-0.004684871001097666,0.03741732746850898,24,0.007637779986372668
299,-0.004964838490870263,0.03753915118287974,24,0.007662647147937578
300,-0.005424114175976787,0.037690288198908135,24,0.0076934978621472794
301,-0.0056518796750119815,0.03784036263464486,24,0.007724131678063202
302,-0.005637950088241174,0.038117257396283716,24,0.007780652584601934
303,-0.006033140391744844,0.03825949235934543,24,0.007809686174859
304,-0.00569931146323499,0.0382591330279479,24,0.007809612826644626
305,-0.005615902061073766,0.03792532644501504,24,0.007741474843230663
306,-0.006027986866014798,0.03797576793279328,24,0.0077517711688076234
307,-0.005463131581754981,0.037948199798132534,24,0.00774614384688436
308,-0.006010279974777047,0.0381696152201489,24,0.0077913400806446185
309,-0.0060113896586114724,0.03842262484285966,24,0.007842985453615905
310,-0.006320274131386228,0.03822063862550716,24,0.007801755189650195
311,-0.0059414174489052915,0.03836830030520116,24,0.007831896503801243
312,-0.0057320607951952445,0.0383458945967762,24,0.007827322957720683
313,-0.0062419232579490535,0.03852881827496788,24,0.00786466209717424
314,-0.006027004834237948,0.038230811441516736,24,0.007803831707022752
315,-0.00593021422496746,0.037807992920335196,24,0.007717524237798341
316,-0.006245483705711845,0.038110992020555526,24,0.00777937367013686
317,-0.006244619265275028,0.037795427970810085,24,0.007714959428216645
318,-0.0064094715817930754,0.03792426317632471,24,0.007741257804418099
319,-0.005883921183775442,0.037714483025096744,24,0.007698436610362064
320,-0.006337243641113014,0.03763308770223936,24,0.007681821859657923
321,-0.0062514374362183925,0.03745583321568695,24,0.0076456399391018875
322,-0.005744038908430778,0.03739266164765867,24,0.0076327450967751545
323,-0.005719076318190378,0.03760229549584684,24,0.007675536426848244
324,-0.00554616622196442,0.03747404759663633,24,0.007649357934044108
325,-0.00508245419941701,0.036833912866489356,24,0.007518690979419584
326,-0.005121301998277831,0.037250563079388926,24,0.0076037393479884115
327,-0.005244232851844755,0.03720221420093459,24,0.007593870174500999
328,-0.004908368830558477,0.037514253382164305,24,0.007657564905648385
329,-0.0050947274368120035,0.03774223811295933,24,0.007704102093947851
